test_idx,p_before,p_after,slack,flipped,sex,age_bucket,fairness_attr,group_val,cost_multiplier,checking_status_before,checking_status_after,savings_status_before,savings_status_after,duration_before,duration_after,credit_amount_before,credit_amount_after
146,0.2549966415200551,0.5000059122590285,0.0,1,female,<=25,sex,female,1.0,A11,A12,A61,A62,15.0,14.0,1433.0,341.0
125,0.20537697710394484,0.5000052980001086,0.0,1,female,<=25,sex,female,1.0,A12,A12,A63,A64,24.0,23.0,3758.0,887.0
45,0.02732017063868509,0.5000261942168488,0.0,1,female,41-60,sex,female,1.0,A12,A14,A62,A62,60.0,33.0,14782.0,3047.0
14,0.46335902393289496,0.5000107690467478,0.0,1,female,26-40,sex,female,1.0,A14,A14,A63,A63,15.0,15.0,5324.0,4191.0
135,0.48607286924929427,0.5000044338482661,0.0,1,male,<=25,sex,male,1.0,A12,A12,A64,A64,12.0,12.0,1007.0,577.0
52,0.16205537078321255,0.5189448728666409,0.0,1,male,26-40,sex,male,1.0,A11,A14,A61,A61,24.0,24.0,1938.0,1938.0
180,0.04805134776534927,0.5000212702720831,0.0,1,male,41-60,sex,male,1.0,A12,A14,A61,A62,48.0,29.999999999999996,6224.0,1440.0
71,0.23381915619367055,0.5430149776633991,0.0,1,male,26-40,sex,male,1.0,A12,A14,A65,A65,48.0,48.0,6681.0,6681.0
196,0.32112455681765184,0.5000063650475903,0.0,1,male,26-40,sex,male,1.0,A12,A12,A61,A62,20.0,20.0,2629.0,1062.0
168,0.29770855219441716,0.5000013361449812,0.0,1,male,41-60,sex,male,1.0,A12,A12,A62,A62,36.0,35.0,8086.0,1663.0
27,0.33790145232012203,0.5000292091997364,0.0,1,female,26-40,sex,female,1.0,A12,A12,A61,A61,18.0,18.0,12976.0,7786.0
160,0.17594365264238504,0.5000008526987872,0.0,1,female,26-40,sex,female,1.0,A12,A14,A61,A61,36.0,36.0,4795.0,3370.0
12,0.38858813797566716,0.5000293268789888,0.0,1,male,26-40,sex,male,1.0,A12,A12,A61,A61,27.0,25.0,3915.0,813.0
159,0.15995100133425127,0.5150547088446608,0.0,1,female,<=25,sex,female,1.0,A11,A14,A61,A61,12.0,12.0,652.0,652.0
2,0.1937526182688948,0.5000120041319766,0.0,1,male,41-60,sex,male,1.0,A12,A14,A65,A65,48.0,48.0,12204.0,11691.0
87,0.4751720064439516,0.500030955562187,0.0,1,male,26-40,sex,male,1.0,A14,A14,A63,A63,36.0,35.0,909.0,339.0
186,0.1563552337600759,0.5000296799828714,0.0,1,male,26-40,sex,male,1.0,A12,A14,A61,A61,24.0,16.0,1201.0,265.0
134,0.0265281861088206,0.5000144377315574,0.0,1,male,26-40,sex,male,1.0,A11,A14,A61,A62,36.0,11.0,6887.0,1505.0
164,0.09031931168946587,0.5000230021874433,0.0,1,male,41-60,sex,male,1.0,A11,A14,A61,A62,12.0,12.0,1082.0,731.0
182,0.35952420507894345,0.5000233319009779,0.0,1,female,41-60,sex,female,1.0,A11,A11,A61,A62,24.0,24.0,1603.0,1356.0
51,0.46523889960928466,0.5000206528806029,0.0,1,male,26-40,sex,male,1.0,A11,A11,A61,A61,20.0,20.0,2235.0,1160.0
170,0.11036023430358219,0.5000100784958125,0.0,1,male,41-60,sex,male,1.0,A11,A14,A61,A61,24.0,24.0,4870.0,2029.0
99,0.14149741998658416,0.5000127656819225,0.0,1,male,26-40,sex,male,1.0,A11,A14,A61,A61,24.0,24.0,3161.0,2512.0
173,0.2077790399703919,0.5052476576174157,0.0,1,male,26-40,sex,male,1.0,A12,A14,A61,A61,18.0,18.0,6260.0,6260.0
80,0.3076036459967394,0.5000070627373301,0.0,1,male,26-40,sex,male,1.0,A11,A11,A61,A62,18.0,18.0,5302.0,3251.0
149,0.20674312114948376,0.50367155818348,0.0,1,female,<=25,sex,female,1.0,A12,A14,A61,A61,24.0,24.0,1355.0,1355.0
64,0.0860021629962877,0.5000112996838912,0.0,1,male,41-60,sex,male,1.0,A11,A14,A61,A62,48.0,48.0,3931.0,3166.0
189,0.10465546556464624,0.5000070495172136,0.0,1,male,26-40,sex,male,1.0,A11,A14,A61,A61,36.0,28.0,2302.0,584.0
136,0.38783387327976687,0.5000116568376094,0.0,1,male,26-40,sex,male,1.0,A11,A11,A62,A62,24.0,15.0,2359.0,617.0
43,0.185065772192526,0.5588345840917327,0.0,1,male,26-40,sex,male,1.0,A11,A14,A61,A61,24.0,24.0,4020.0,4020.0
139,0.48792795183201626,0.5000135534135852,0.0,1,male,26-40,sex,male,1.0,A14,A14,A65,A65,48.0,48.0,7238.0,6865.0
103,0.49265228307005793,0.5000082265419108,0.0,1,female,26-40,sex,female,1.0,A12,A12,A63,A63,24.0,24.0,4113.0,3886.0
25,0.31757450013696475,0.5000066102163364,0.0,1,male,26-40,sex,male,1.0,A14,A14,A61,A62,48.0,48.0,6110.0,4417.0
79,0.1268372883085591,0.5000003797914483,0.0,1,male,41-60,sex,male,1.0,A11,A14,A61,A61,27.0,27.0,5293.0,3670.0
150,0.08234792580809698,0.5000200742709365,0.0,1,female,<=25,sex,female,1.0,A11,A14,A61,A62,18.0,18.0,1882.0,751.0
181,0.23372899609697106,0.5428900713612932,0.0,1,female,41-60,sex,female,1.0,A12,A14,A61,A61,36.0,36.0,3804.0,3804.0
44,0.1293052635096479,0.5000164778107798,0.0,1,female,<=25,sex,female,1.0,A11,A14,A61,A61,15.0,15.0,2511.0,1058.0
101,0.40798962379508574,0.5000033550575191,0.0,1,male,26-40,sex,male,1.0,A11,A11,A61,A61,36.0,36.0,8229.0,5357.0
115,0.2318081341073419,0.5402196724070019,0.0,1,female,<=25,sex,female,1.0,A12,A14,A65,A65,12.0,12.0,7472.0,7472.0
108,0.3059984663968348,0.5188717439814818,0.0,1,male,<=25,sex,male,1.0,A13,A14,A61,A61,36.0,36.0,5848.0,5848.0
156,0.15099660044711652,0.5000324809309831,0.0,1,male,<=25,sex,male,1.0,A11,A12,A63,A64,24.0,17.0,2483.0,687.0
163,0.3087512293277612,0.5000185174997341,0.0,1,male,26-40,sex,male,1.0,A11,A11,A61,A62,15.0,11.0,1721.0,502.0
7,0.34747317459356886,0.500029390928893,0.0,1,male,60+,sex,male,1.0,A11,A11,A61,A62,18.0,18.0,2600.0,1946.0
84,0.42218148502462644,0.5000290232470426,0.0,1,male,26-40,sex,male,1.0,A11,A11,A61,A61,12.0,8.0,2171.0,540.0
78,0.277188813593711,0.5000027935490929,0.0,1,male,26-40,sex,male,1.0,A11,A11,A61,A62,12.0,4.0,2121.0,517.0
137,0.1416650713585608,0.500030881843353,0.0,1,male,26-40,sex,male,1.0,A12,A14,A65,A65,48.0,48.0,5381.0,1969.0
193,0.3024338870116084,0.5000026154509137,0.0,1,female,26-40,sex,female,1.0,A11,A11,A61,A62,24.0,24.0,3660.0,1421.0
131,0.10884461911985772,0.50001479343869,0.0,1,male,26-40,sex,male,1.0,A11,A14,A61,A61,12.0,5.0,2149.0,572.0
117,0.43045620171345705,0.5461060230858005,0.0,1,male,26-40,sex,male,1.0,A12,A13,A62,A62,9.0,9.0,1437.0,1437.0
13,0.14883281166310897,0.5000158155748604,0.0,1,male,<=25,sex,male,1.0,A11,A14,A61,A61,45.0,45.0,1845.0,1652.0
175,0.3916972406135554,0.5000095403217335,0.0,1,female,<=25,sex,female,1.0,A12,A12,A61,A61,24.0,24.0,11560.0,8164.0
29,0.05860223005272582,0.5000006330873901,0.0,1,male,41-60,sex,male,1.0,A12,A14,A61,A61,36.0,36.0,14318.0,3385.0
167,0.08493891671986929,0.5000107307151855,0.0,1,female,41-60,sex,female,1.0,A12,A14,A61,A62,36.0,36.0,7432.0,3789.0
96,0.21657227746035862,0.5183922141932528,0.0,1,male,26-40,sex,male,1.0,A12,A14,A61,A61,30.0,30.0,4249.0,4249.0
57,0.446151963626001,0.5000017966667426,0.0,1,male,26-40,sex,male,1.0,A12,A12,A61,A61,9.0,6.0,1391.0,316.0
48,0.09706436647417788,0.5000150028260348,0.0,1,male,26-40,sex,male,1.0,A12,A14,A62,A62,39.0,39.0,11760.0,5041.0
85,0.48710728307978035,0.500002556876753,0.0,1,female,41-60,sex,female,1.0,A14,A14,A61,A61,12.0,12.0,2748.0,2350.0
151,0.11990743445428789,0.5000138243018626,0.0,1,male,26-40,sex,male,1.0,A12,A14,A62,A62,36.0,22.0,2862.0,739.0
113,0.4591301420826806,0.5000016658447697,0.0,1,female,60+,sex,female,1.0,A12,A12,A61,A61,18.0,18.0,3872.0,2608.0
30,0.44912298629973607,0.50002030729454,0.0,1,male,41-60,sex,male,1.0,A14,A14,A61,A61,18.0,18.0,1984.0,408.0
129,0.28350113895488493,0.500003961428551,0.0,1,male,26-40,sex,male,1.0,A12,A13,A65,A65,36.0,32.0,3711.0,936.0
39,0.1161883951363813,0.5000045161340475,0.0,1,female,26-40,sex,female,1.0,A11,A14,A61,A61,18.0,15.0,2389.0,589.0
34,0.14622135670164274,0.5000069793957057,0.0,1,female,41-60,sex,female,1.0,A12,A14,A61,A61,27.0,27.0,8318.0,5192.0
154,0.4348045979008557,0.5000088593175664,0.0,1,male,41-60,sex,male,1.0,A14,A14,A61,A61,12.0,7.0,1393.0,358.0
86,0.03885401175858548,0.5000217527660259,0.0,1,male,41-60,sex,male,1.0,A11,A14,A61,A61,36.0,36.0,15857.0,4366.0
152,0.47767681835198583,0.5000230520507317,0.0,1,male,<=25,sex,male,1.0,A11,A11,A65,A65,24.0,24.0,2996.0,2306.0
172,0.15015140386939735,0.500013280581298,0.0,1,male,41-60,sex,male,1.0,A12,A14,A62,A62,36.0,36.0,12612.0,9726.0
16,0.4601940436088164,0.5000030945137686,0.0,1,male,26-40,sex,male,1.0,A12,A12,A61,A61,24.0,24.0,6403.0,5172.0
