dataset,run_tag,test_idx,p_before,p_after,slack,flipped,fairness_attr,group_val,sex,race,education-num_before,education-num_after,delta_education-num,w_education-num,hours-per-week_before,hours-per-week_after,delta_hours-per-week,w_hours-per-week,capital-gain_before,capital-gain_after,delta_capital-gain,w_capital-gain,capital-loss_before,capital-loss_after,delta_capital-loss,w_capital-loss,workclass_before,workclass_after,w_workclass_step,occupation_before,occupation_after,w_occupation_step,burden_total
adult,base,3558,0.02061767655624066,0.5000496204228588,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,16.0,16.0,0.0,1.0,0.0,11770.0,11770.0,1.5,1721.0,1721.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.11770117701177012
adult,base,2148,0.0008908565680764172,0.500034275291871,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,8.0,8.0,0.0,1.0,0.0,21408.0,21408.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.21408214082140822
adult,base,1289,0.23014323747686305,0.5000805571208873,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,60.0,60.0,0.0,1.0,0.0,3682.0,3682.0,1.5,0.0,0.0,0.0,1.0,Self-emp-not-inc,Self-emp-not-inc,2.0,Farming-fishing,Farming-fishing,2.0,0.036820368203682036
adult,base,2842,0.15846114256520857,0.5000758320416235,0.0,1,sex,Female,Female,White,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,5091.0,5091.0,1.5,0.0,0.0,0.0,1.0,Self-emp-inc,Self-emp-inc,2.0,Sales,Sales,2.0,0.050910509105091054
adult,base,3426,0.05229086393267006,0.500076765063064,0.0,1,sex,Female,Female,White,11.0,11.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,8833.0,8833.0,1.5,0.0,0.0,0.0,1.0,State-gov,State-gov,2.0,Tech-support,Tech-support,2.0,0.08833088330883308
adult,base,5760,0.028298392796952298,0.5000753553078608,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,35.0,35.0,0.0,1.0,0.0,10781.0,10781.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.10781107811078111
adult,base,3495,0.028600295350127664,0.5000177520017974,0.0,1,sex,Female,Female,Black,10.0,10.0,0.0,2.0,20.0,20.0,0.0,1.0,0.0,10747.0,10747.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Exec-managerial,Exec-managerial,2.0,0.10747107471074711
adult,base,5326,0.269444629220272,0.5000280689807757,0.0,1,sex,Male,Male,White,5.0,5.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,3041.0,3041.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Transport-moving,Transport-moving,2.0,0.03041030410304103
adult,base,5774,0.012175214016459344,0.5000554457361946,0.0,1,sex,Female,Female,White,13.0,13.0,0.0,2.0,20.0,20.0,0.0,1.0,0.0,13402.0,13402.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.13402134021340215
adult,base,1463,0.021416458791278896,0.5000793049656547,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,11652.0,11652.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.11652116521165212
adult,base,1220,0.4941566509974367,0.5000610146882596,0.0,1,sex,Male,Male,Black,14.0,14.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,72.0,72.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Prof-specialty,Prof-specialty,2.0,0.0007200072000720007
adult,base,2776,0.446952430572739,0.5000577229344056,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,650.0,650.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Craft-repair,Craft-repair,2.0,0.006500065000650006
adult,base,190,0.44339063945583984,0.5000609499368514,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,694.0,694.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Transport-moving,Transport-moving,2.0,0.006940069400694007
adult,base,2519,0.07138369091973228,0.5000658607073855,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,7822.0,7822.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.07822078220782208
adult,base,4362,0.37732317751005334,0.500077968163137,0.0,1,sex,Male,Male,White,6.0,6.0,0.0,2.0,50.0,50.0,0.0,1.0,0.0,1528.0,1528.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Machine-op-inspct,Machine-op-inspct,2.0,0.015280152801528016
adult,base,3296,0.34364998499128285,0.500035618542226,0.0,1,sex,Male,Male,White,6.0,6.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,1973.0,1973.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Adm-clerical,Adm-clerical,2.0,0.01973019730197302
adult,base,4531,0.029196522059141135,0.500080822079358,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,10683.0,10683.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Handlers-cleaners,Handlers-cleaners,2.0,0.1068310683106831
adult,base,361,0.11490797329799614,0.5000324252484327,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,44.0,44.0,0.0,1.0,0.0,6224.0,6224.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Craft-repair,Craft-repair,2.0,0.062240622406224064
adult,base,2964,0.04404863611888764,0.5000528966493165,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,9382.0,9382.0,1.5,0.0,0.0,0.0,1.0,Federal-gov,Federal-gov,2.0,Adm-clerical,Adm-clerical,2.0,0.09382093820938209
adult,base,571,0.020370925752129825,0.5000109363744403,0.0,1,sex,Male,Male,Black,10.0,10.0,0.0,2.0,25.0,25.0,0.0,1.0,0.0,11807.0,11807.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Handlers-cleaners,Handlers-cleaners,2.0,0.11807118071180712
adult,base,731,0.4204036798630502,0.5000074453888383,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,979.0,979.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Machine-op-inspct,Machine-op-inspct,2.0,0.00979009790097901
adult,base,754,0.3853347376539142,0.5000390983952523,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,60.0,60.0,0.0,1.0,0.0,1424.0,1424.0,1.5,0.0,0.0,0.0,1.0,Self-emp-not-inc,Self-emp-not-inc,2.0,Farming-fishing,Farming-fishing,2.0,0.014240142401424015
adult,base,608,0.127392956352026,0.5000110865534062,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,50.0,50.0,0.0,1.0,0.0,5866.0,5866.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Craft-repair,Craft-repair,2.0,0.05866058660586606
adult,base,3801,0.010091241252875036,0.5000780503007166,0.0,1,sex,Female,Female,Black,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,13981.0,13981.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Machine-op-inspct,Machine-op-inspct,2.0,0.13981139811398113
adult,base,2646,0.2821766699103217,0.5000563717845552,0.0,1,sex,Male,Male,White,13.0,13.0,0.0,2.0,55.0,55.0,0.0,1.0,0.0,2847.0,2847.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.02847028470284703
adult,base,5846,0.02901237036988407,0.5000097474881329,0.0,1,sex,Male,Male,White,3.0,3.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,10702.0,10702.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Machine-op-inspct,Machine-op-inspct,2.0,0.1070210702107021
adult,base,3041,0.115617130856278,0.5000487680880237,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,6203.0,6203.0,1.5,0.0,0.0,0.0,1.0,Federal-gov,Federal-gov,2.0,Adm-clerical,Adm-clerical,2.0,0.062030620306203064
adult,base,5643,0.4973486424298455,0.500054906208597,0.0,1,sex,Male,Male,White,13.0,13.0,0.0,2.0,60.0,60.0,0.0,1.0,0.0,33.0,33.0,1.5,0.0,0.0,0.0,1.0,Self-emp-not-inc,Self-emp-not-inc,2.0,Farming-fishing,Farming-fishing,2.0,0.00033000330003300033
adult,base,3627,0.4075546800988478,0.5000511111905037,0.0,1,sex,Male,Male,Asian-Pac-Islander,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,1141.0,1141.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Craft-repair,Craft-repair,2.0,0.011410114101141011
adult,base,837,0.01932754252468726,0.5000498616010634,0.0,1,sex,Female,Female,Black,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,11971.0,11971.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Exec-managerial,Exec-managerial,2.0,0.11971119711197112
adult,base,5192,0.40670902217910737,0.5000773333635736,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,1152.0,1152.0,1.5,0.0,0.0,0.0,1.0,Self-emp-not-inc,Self-emp-not-inc,2.0,Transport-moving,Transport-moving,2.0,0.011520115201152011
adult,base,5056,0.21643864740198693,0.5000027430136927,0.0,1,sex,Male,Male,White,13.0,13.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,3922.0,3922.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.03922039220392204
adult,base,1906,0.0014735379606502328,0.500024215666032,0.0,1,sex,Male,Male,White,7.0,7.0,0.0,2.0,12.0,12.0,0.0,1.0,0.0,19872.0,19872.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.1987219872198722
adult,base,1689,0.2379981775227312,0.5000455493358419,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,48.0,48.0,0.0,1.0,0.0,3548.0,3548.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Tech-support,Tech-support,2.0,0.03548035480354803
adult,base,3008,0.0690527885059628,0.5000785395258766,0.0,1,sex,Female,Female,White,13.0,13.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,7931.0,7931.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.07931079310793109
adult,base,1900,0.043427897960172324,0.5000329214722691,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,9427.0,9427.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Craft-repair,Craft-repair,2.0,0.0942709427094271
adult,base,4330,0.053431110249628114,0.5000299978833891,0.0,1,sex,Female,Female,White,10.0,10.0,0.0,2.0,38.0,38.0,0.0,1.0,0.0,8763.0,8763.0,1.5,0.0,0.0,0.0,1.0,State-gov,State-gov,2.0,Adm-clerical,Adm-clerical,2.0,0.08763087630876308
adult,base,5027,0.0018570876926023887,0.5000578928293288,0.0,1,sex,Male,Male,White,7.0,7.0,0.0,2.0,24.0,24.0,0.0,1.0,0.0,19166.0,19166.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Handlers-cleaners,Handlers-cleaners,2.0,0.19166191661916618
adult,base,6001,0.0317015737555907,0.5000656706133084,0.0,1,sex,Male,Male,White,7.0,7.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,10424.0,10424.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Transport-moving,Transport-moving,2.0,0.1042410424104241
adult,base,3097,0.006998949687309853,0.5000812155831372,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,15106.0,15106.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.15106151061510614
adult,base,4749,0.0050985806596726,0.5000342511629214,0.0,1,sex,Female,Female,White,7.0,7.0,0.0,2.0,49.0,49.0,0.0,1.0,0.0,16077.0,16077.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.16077160771607715
adult,base,3084,0.005775637852865941,0.5000487252043677,0.0,1,sex,Female,Female,Black,5.0,5.0,0.0,2.0,30.0,30.0,0.0,1.0,0.0,15695.0,15695.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.15695156951569517
adult,base,5288,0.02443909987857049,0.5000712382599619,0.0,1,sex,Female,Female,White,10.0,10.0,0.0,2.0,24.0,24.0,0.0,1.0,0.0,11240.0,11240.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.11240112401124011
adult,base,3601,0.004139187331606007,0.5000811969936877,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,25.0,25.0,0.0,1.0,0.0,16716.0,16716.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.16716167161671616
adult,base,992,0.36650553474412506,0.5000631876700236,0.0,1,sex,Male,Male,White,13.0,13.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,1669.0,1669.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Tech-support,Tech-support,2.0,0.016690166901669017
adult,base,1128,0.16027903154353523,0.5000238072545095,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,5049.0,5049.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Protective-serv,Protective-serv,2.0,0.05049050490504905
adult,base,5780,0.06189202088203391,0.500070042284097,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,8288.0,8288.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Craft-repair,Craft-repair,2.0,0.08288082880828808
adult,base,2682,0.21531124650120786,0.5000598601131613,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,20.0,20.0,0.0,1.0,0.0,3943.0,3943.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Machine-op-inspct,Machine-op-inspct,2.0,0.03943039430394304
adult,base,3482,0.009917309167437638,0.5000340379992604,0.0,1,sex,Female,Female,White,8.0,8.0,0.0,2.0,30.0,30.0,0.0,1.0,0.0,14034.0,14034.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.14034140341403414
adult,base,854,0.1435244290573244,0.5000394984200193,0.0,1,sex,Female,Female,White,13.0,13.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,5446.0,5446.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Prof-specialty,Prof-specialty,2.0,0.054460544605446054
adult,base,3577,0.0055858377372084616,0.5000123257047883,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,30.0,30.0,0.0,1.0,0.0,15797.0,15797.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.15797157971579714
adult,base,4707,0.10073234205119555,0.5000479237512689,0.0,1,sex,Male,Male,White,2.0,2.0,0.0,2.0,35.0,35.0,0.0,1.0,0.0,6674.0,6674.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.06674066740667407
adult,base,333,0.048228750860527594,0.5000311752193619,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,50.0,50.0,0.0,1.0,0.0,9092.0,9092.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.09092090920909209
adult,base,5252,0.230384460442409,0.5000107578387996,0.0,1,sex,Male,Male,White,13.0,13.0,0.0,2.0,38.0,38.0,0.0,1.0,0.0,3677.0,3677.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.03677036770367704
adult,base,3344,0.14598473521544847,0.500005347939835,0.0,1,sex,Female,Female,Black,13.0,13.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,5385.0,5385.0,1.5,0.0,0.0,0.0,1.0,Self-emp-not-inc,Self-emp-not-inc,2.0,Prof-specialty,Prof-specialty,2.0,0.05385053850538506
adult,base,1214,0.4762752353824925,0.5000399426376649,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,290.0,290.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Craft-repair,Craft-repair,2.0,0.002900029000290003
adult,base,3262,0.05260842053807109,0.5000340045051509,0.0,1,sex,Male,Male,Asian-Pac-Islander,13.0,13.0,0.0,2.0,20.0,20.0,0.0,1.0,0.0,8813.0,8813.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.0881308813088131
adult,base,108,0.015764857586807943,0.5000358368355206,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,30.0,30.0,0.0,1.0,0.0,12603.0,12603.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Adm-clerical,Adm-clerical,2.0,0.12603126031260312
adult,base,989,0.2109498201837598,0.5000367699392676,0.0,1,sex,Female,Female,White,14.0,14.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,4022.0,4022.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Prof-specialty,Prof-specialty,2.0,0.04022040220402204
adult,base,5565,0.10840969597207586,0.5000518878610275,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,35.0,35.0,0.0,1.0,0.0,6424.0,6424.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.06424064240642406
adult,base,5375,0.0024029169819387414,0.5000722341578434,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,35.0,35.0,0.0,1.0,0.0,18379.0,18379.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.1837918379183792
adult,base,1747,0.04729518978046707,0.5000659447172464,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,9155.0,9155.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.09155091550915509
adult,base,3606,0.01995371652782178,0.5000617418461157,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,11872.0,11872.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Transport-moving,Transport-moving,2.0,0.11872118721187212
adult,base,5696,0.34372027989202,0.5000315193724442,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,1972.0,1972.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Handlers-cleaners,Handlers-cleaners,2.0,0.01972019720197202
adult,base,453,0.3381979168378806,0.5000380872509075,0.0,1,sex,Male,Male,Amer-Indian-Eskimo,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,2047.0,2047.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.02047020470204702
adult,base,5159,0.310618863486732,0.5000563498757387,0.0,1,sex,Female,Female,White,14.0,14.0,0.0,2.0,55.0,55.0,0.0,1.0,0.0,2431.0,2431.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Prof-specialty,Prof-specialty,2.0,0.024310243102431024
adult,base,3234,0.018425047379435143,0.5000021556615352,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,12119.0,12119.0,1.5,0.0,0.0,0.0,1.0,State-gov,State-gov,2.0,Transport-moving,Transport-moving,2.0,0.12119121191211912
adult,base,4382,0.017350424285524316,0.500040730022408,0.0,1,sex,Female,Female,White,9.0,9.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,12306.0,12306.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.12306123061230612
adult,base,4630,0.002666765452907551,0.500023295981863,0.0,1,sex,Female,Female,White,7.0,7.0,0.0,2.0,30.0,30.0,0.0,1.0,0.0,18060.0,18060.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.18060180601806017
adult,base,2480,0.014276695687398078,0.5000461269286771,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,20.0,20.0,0.0,1.0,0.0,12910.0,12910.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.12910129101291012
adult,base,5579,0.28802549307055547,0.5000138532309072,0.0,1,sex,Male,Male,White,13.0,13.0,0.0,2.0,43.0,43.0,0.0,1.0,0.0,2759.0,2759.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Prof-specialty,Prof-specialty,2.0,0.027590275902759028
adult,base,1224,0.011451751378222831,0.5000571784198966,0.0,1,sex,Male,Male,White,12.0,12.0,0.0,2.0,20.0,20.0,0.0,1.0,0.0,13591.0,13591.0,1.5,0.0,0.0,0.0,1.0,Federal-gov,Federal-gov,2.0,Other-service,Other-service,2.0,0.13591135911359115
adult,base,209,0.22402223441395738,0.5000544914007244,0.0,1,sex,Male,Male,Black,10.0,10.0,0.0,2.0,55.0,55.0,0.0,1.0,0.0,3788.0,3788.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Transport-moving,Transport-moving,2.0,0.037880378803788035
adult,base,1879,0.0013254235426787859,0.5000744135216969,0.0,1,sex,Male,Male,White,6.0,6.0,0.0,2.0,10.0,10.0,0.0,1.0,0.0,20196.0,20196.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Handlers-cleaners,Handlers-cleaners,2.0,0.2019620196201962
