test_idx,p_before,p_after,slack,flipped,sex,age_bucket,fairness_attr,group_val,duration_before,duration_after,credit_amount_before,credit_amount_after,delta_duration,delta_credit_amount,checking_status_before,checking_status_after,savings_status_before,savings_status_after,w_credit_amount,w_duration,w_check_step,w_save_step
134,0.0265281861088206,0.5000144377315574,0.0,1,male,26-40,age_bucket,26-40,36.0,11.0,6887.0,1505.0,-25.0,-5382.0,A11,A14,A61,A62,1.0,1.0,0.25,0.25
164,0.09031931168946587,0.5000230021874433,0.0,1,male,41-60,age_bucket,41-60,12.0,12.0,1082.0,731.0,0.0,-351.0,A11,A14,A61,A62,1.0,1.0,0.25,0.25
182,0.35952420507894345,0.5000233319009779,0.0,1,female,41-60,age_bucket,41-60,24.0,24.0,1603.0,1356.0,0.0,-247.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
51,0.46523889960928466,0.5000206528806029,0.0,1,male,26-40,age_bucket,26-40,20.0,20.0,2235.0,1160.0,0.0,-1075.0,A11,A11,A61,A61,1.0,1.0,0.25,0.25
170,0.11036023430358219,0.5000100784958125,0.0,1,male,41-60,age_bucket,41-60,24.0,24.0,4870.0,2029.0,0.0,-2841.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
99,0.14149741998658416,0.5000127656819225,0.0,1,male,26-40,age_bucket,26-40,24.0,24.0,3161.0,2512.0,0.0,-649.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
173,0.2077790399703919,0.5052476576174157,0.0,1,male,26-40,age_bucket,26-40,18.0,18.0,6260.0,6260.0,0.0,0.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
80,0.3076036459967394,0.5000070627373301,0.0,1,male,26-40,age_bucket,26-40,18.0,18.0,5302.0,3251.0,0.0,-2051.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
149,0.20674312114948376,0.50367155818348,0.0,1,female,le25,age_bucket,le25,24.0,24.0,1355.0,1355.0,0.0,0.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
64,0.0860021629962877,0.5000112996838912,0.0,1,male,41-60,age_bucket,41-60,48.0,48.0,3931.0,3166.0,0.0,-765.0,A11,A14,A61,A62,1.0,1.0,0.25,0.25
189,0.10465546556464624,0.5000070495172136,0.0,1,male,26-40,age_bucket,26-40,36.0,28.0,2302.0,584.0,-8.0,-1718.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
136,0.38783387327976687,0.5000116568376094,0.0,1,male,26-40,age_bucket,26-40,24.0,15.0,2359.0,617.0,-9.0,-1742.0,A11,A11,A62,A62,1.0,1.0,0.25,0.25
43,0.185065772192526,0.5588345840917327,0.0,1,male,26-40,age_bucket,26-40,24.0,24.0,4020.0,4020.0,0.0,0.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
139,0.48792795183201626,0.5000135534135852,0.0,1,male,26-40,age_bucket,26-40,48.0,48.0,7238.0,6865.0,0.0,-373.0,A14,A14,A65,A65,1.0,1.0,0.25,0.25
103,0.49265228307005793,0.5000082265419108,0.0,1,female,26-40,age_bucket,26-40,24.0,24.0,4113.0,3886.0,0.0,-227.0,A12,A12,A63,A63,1.0,1.0,0.25,0.25
25,0.31757450013696475,0.5000066102163364,0.0,1,male,26-40,age_bucket,26-40,48.0,48.0,6110.0,4417.0,0.0,-1693.0,A14,A14,A61,A62,1.0,1.0,0.25,0.25
79,0.1268372883085591,0.5000003797914483,0.0,1,male,41-60,age_bucket,41-60,27.0,27.0,5293.0,3670.0,0.0,-1623.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
150,0.08234792580809698,0.5000200742709365,0.0,1,female,le25,age_bucket,le25,18.0,18.0,1882.0,751.0,0.0,-1131.0,A11,A14,A61,A62,1.0,1.0,0.25,0.25
181,0.23372899609697106,0.5428900713612932,0.0,1,female,41-60,age_bucket,41-60,36.0,36.0,3804.0,3804.0,0.0,0.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
44,0.1293052635096479,0.5000164778107798,0.0,1,female,le25,age_bucket,le25,15.0,15.0,2511.0,1058.0,0.0,-1453.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
101,0.40798962379508574,0.5000033550575191,0.0,1,male,26-40,age_bucket,26-40,36.0,36.0,8229.0,5357.0,0.0,-2872.0,A11,A11,A61,A61,1.0,1.0,0.25,0.25
115,0.2318081341073419,0.5402196724070019,0.0,1,female,le25,age_bucket,le25,12.0,12.0,7472.0,7472.0,0.0,0.0,A12,A14,A65,A65,1.0,1.0,0.25,0.25
108,0.3059984663968348,0.5188717439814818,0.0,1,male,le25,age_bucket,le25,36.0,36.0,5848.0,5848.0,0.0,0.0,A13,A14,A61,A61,1.0,1.0,0.25,0.25
156,0.15099660044711652,0.5000324809309831,0.0,1,male,le25,age_bucket,le25,24.0,17.0,2483.0,687.0,-7.0,-1796.0,A11,A12,A63,A64,1.0,1.0,0.25,0.25
163,0.3087512293277612,0.5000185174997341,0.0,1,male,26-40,age_bucket,26-40,15.0,11.0,1721.0,502.0,-4.0,-1219.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
7,0.34747317459356886,0.500029390928893,0.0,1,male,60+,age_bucket,60+,18.0,18.0,2600.0,1946.0,0.0,-654.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
84,0.42218148502462644,0.5000290232470426,0.0,1,male,26-40,age_bucket,26-40,12.0,8.0,2171.0,540.0,-4.0,-1631.0,A11,A11,A61,A61,1.0,1.0,0.25,0.25
78,0.277188813593711,0.5000027935490929,0.0,1,male,26-40,age_bucket,26-40,12.0,4.0,2121.0,517.0,-8.0,-1604.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
137,0.1416650713585608,0.500030881843353,0.0,1,male,26-40,age_bucket,26-40,48.0,48.0,5381.0,1969.0,0.0,-3412.0,A12,A14,A65,A65,1.0,1.0,0.25,0.25
193,0.3024338870116084,0.5000026154509137,0.0,1,female,26-40,age_bucket,26-40,24.0,24.0,3660.0,1421.0,0.0,-2239.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
131,0.10884461911985772,0.50001479343869,0.0,1,male,26-40,age_bucket,26-40,12.0,5.0,2149.0,572.0,-7.0,-1577.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
117,0.43045620171345705,0.5461060230858005,0.0,1,male,26-40,age_bucket,26-40,9.0,9.0,1437.0,1437.0,0.0,0.0,A12,A13,A62,A62,1.0,1.0,0.25,0.25
13,0.14883281166310897,0.5000158155748604,0.0,1,male,le25,age_bucket,le25,45.0,45.0,1845.0,1652.0,0.0,-193.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
175,0.3916972406135554,0.5000095403217335,0.0,1,female,le25,age_bucket,le25,24.0,24.0,11560.0,8164.0,0.0,-3396.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
29,0.05860223005272582,0.5000006330873901,0.0,1,male,41-60,age_bucket,41-60,36.0,36.0,14318.0,3385.0,0.0,-10933.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
167,0.08493891671986929,0.5000107307151855,0.0,1,female,41-60,age_bucket,41-60,36.0,36.0,7432.0,3789.0,0.0,-3643.0,A12,A14,A61,A62,1.0,1.0,0.25,0.25
96,0.21657227746035862,0.5183922141932528,0.0,1,male,26-40,age_bucket,26-40,30.0,30.0,4249.0,4249.0,0.0,0.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
57,0.446151963626001,0.5000017966667426,0.0,1,male,26-40,age_bucket,26-40,9.0,6.0,1391.0,316.0,-3.0,-1075.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
48,0.09706436647417788,0.5000150028260348,0.0,1,male,26-40,age_bucket,26-40,39.0,39.0,11760.0,5041.0,0.0,-6719.0,A12,A14,A62,A62,1.0,1.0,0.25,0.25
85,0.48710728307978035,0.500002556876753,0.0,1,female,41-60,age_bucket,41-60,12.0,12.0,2748.0,2350.0,0.0,-398.0,A14,A14,A61,A61,1.0,1.0,0.25,0.25
151,0.11990743445428789,0.5000138243018626,0.0,1,male,26-40,age_bucket,26-40,36.0,22.0,2862.0,739.0,-14.0,-2123.0,A12,A14,A62,A62,1.0,1.0,0.25,0.25
113,0.4591301420826806,0.5000016658447697,0.0,1,female,60+,age_bucket,60+,18.0,18.0,3872.0,2608.0,0.0,-1264.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
30,0.44912298629973607,0.50002030729454,0.0,1,male,41-60,age_bucket,41-60,18.0,18.0,1984.0,408.0,0.0,-1576.0,A14,A14,A61,A61,1.0,1.0,0.25,0.25
129,0.28350113895488493,0.500003961428551,0.0,1,male,26-40,age_bucket,26-40,36.0,32.0,3711.0,936.0,-4.0,-2775.0,A12,A13,A65,A65,1.0,1.0,0.25,0.25
39,0.1161883951363813,0.5000045161340475,0.0,1,female,26-40,age_bucket,26-40,18.0,15.0,2389.0,589.0,-3.0,-1800.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
34,0.14622135670164274,0.5000069793957057,0.0,1,female,41-60,age_bucket,41-60,27.0,27.0,8318.0,5192.0,0.0,-3126.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
154,0.4348045979008557,0.5000088593175664,0.0,1,male,41-60,age_bucket,41-60,12.0,7.0,1393.0,358.0,-5.0,-1035.0,A14,A14,A61,A61,1.0,1.0,0.25,0.25
86,0.03885401175858548,0.5000217527660259,0.0,1,male,41-60,age_bucket,41-60,36.0,36.0,15857.0,4366.0,0.0,-11491.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
152,0.47767681835198583,0.5000230520507317,0.0,1,male,le25,age_bucket,le25,24.0,24.0,2996.0,2306.0,0.0,-690.0,A11,A11,A65,A65,1.0,1.0,0.25,0.25
172,0.15015140386939735,0.500013280581298,0.0,1,male,41-60,age_bucket,41-60,36.0,36.0,12612.0,9726.0,0.0,-2886.0,A12,A14,A62,A62,1.0,1.0,0.25,0.25
16,0.4601940436088164,0.5000030945137686,0.0,1,male,26-40,age_bucket,26-40,24.0,24.0,6403.0,5172.0,0.0,-1231.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
