test_idx,group_col,group_val,age_bucket,p_before,p_after,slack,flipped,duration_before,duration_after,credit_amount_before,credit_amount_after,delta_duration,delta_credit_amount,checking_status_before,checking_status_after,savings_status_before,savings_status_after,w_credit_amount,w_duration,w_check_step,w_save_step
154,age_bucket,41-60,41-60,0.4348045979008557,0.5703378953600381,0.0,1,12.0,12.0,1393.0,1393.0,0.0,0.0,A14,A14,A61,A62,1.5,1.1,0.15,0.15
190,age_bucket,26-40,26-40,0.3485650943631628,0.566863215003073,0.0,1,12.0,12.0,1330.0,1330.0,0.0,0.0,A13,A14,A61,A61,1.5,1.1,0.15,0.15
44,age_bucket,le25,le25,0.1293052635096479,0.5000164778107798,0.0,1,15.0,15.0,2511.0,1058.0,0.0,-1453.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
186,age_bucket,26-40,26-40,0.1563552337600759,0.554596511315947,0.0,1,24.0,24.0,1201.0,1201.0,0.0,0.0,A12,A14,A61,A62,1.5,1.1,0.15,0.15
150,age_bucket,le25,le25,0.08234792580809698,0.5000200742709365,0.0,1,18.0,18.0,1882.0,751.0,0.0,-1131.0,A11,A14,A61,A62,1.0,1.0,0.25,0.25
183,age_bucket,le25,le25,0.44947493684087997,0.5000194332934645,0.0,1,45.0,45.0,3031.0,1466.0,0.0,-1565.0,A12,A12,A62,A62,1.0,1.0,0.25,0.25
113,age_bucket,60+,60+,0.4591301420826805,0.5000016658447697,0.0,1,18.0,18.0,3872.0,2608.0,0.0,-1264.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
16,age_bucket,26-40,26-40,0.4601940436088164,0.500011072673103,0.0,1,24.0,18.0,6403.0,6358.0,-6.0,-45.0,A12,A12,A61,A61,1.5,1.1,0.15,0.15
79,age_bucket,41-60,41-60,0.12683728830855898,0.5000218197931157,0.0,1,27.0,19.0,5293.0,5251.0,-8.0,-42.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
95,age_bucket,41-60,41-60,0.22476496185612801,0.6179175761364846,0.0,1,12.0,12.0,339.0,339.0,0.0,0.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
85,age_bucket,41-60,41-60,0.48710728307978024,0.5000160187190925,0.0,1,12.0,10.0,2748.0,2745.0,-2.0,-3.0,A14,A14,A61,A61,1.5,1.1,0.15,0.15
2,age_bucket,41-60,41-60,0.1937526182688949,0.5000254659743018,0.0,1,48.0,46.0,12204.0,12086.0,-2.0,-118.0,A12,A14,A65,A65,1.5,1.1,0.15,0.15
96,age_bucket,26-40,26-40,0.21657227746035862,0.5183922141932528,0.0,1,30.0,30.0,4249.0,4249.0,0.0,0.0,A12,A14,A61,A61,1.5,1.1,0.15,0.15
135,age_bucket,le25,le25,0.48607286924929416,0.5000044338482661,0.0,1,12.0,12.0,1007.0,577.0,0.0,-430.0,A12,A12,A64,A64,1.0,1.0,0.25,0.25
83,age_bucket,26-40,26-40,0.3597039721955821,0.5000145663906904,0.0,1,21.0,20.0,3599.0,3556.0,-1.0,-43.0,A11,A11,A61,A62,1.5,1.1,0.15,0.15
76,age_bucket,le25,le25,0.10749081537592603,0.5270116421272981,0.0,1,6.0,6.0,433.0,433.0,0.0,0.0,A12,A14,A64,A64,1.0,1.0,0.25,0.25
193,age_bucket,26-40,26-40,0.3024338870116084,0.5173039062296829,0.0,1,24.0,24.0,3660.0,3660.0,0.0,0.0,A11,A12,A61,A62,1.5,1.1,0.15,0.15
189,age_bucket,26-40,26-40,0.10465546556464624,0.5294158633568565,0.0,1,36.0,36.0,2302.0,2302.0,0.0,0.0,A11,A14,A61,A62,1.5,1.1,0.15,0.15
180,age_bucket,41-60,41-60,0.04805134776534927,0.5000130572287338,0.0,1,48.0,31.0,6224.0,6110.0,-17.0,-114.0,A12,A14,A61,A64,1.5,1.1,0.15,0.15
182,age_bucket,41-60,41-60,0.35952420507894345,0.5000138591383144,0.0,1,24.0,23.0,1603.0,1554.0,-1.0,-49.0,A11,A11,A61,A62,1.5,1.1,0.15,0.15
149,age_bucket,le25,le25,0.20674312114948368,0.50367155818348,0.0,1,24.0,24.0,1355.0,1355.0,0.0,0.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
7,age_bucket,60+,60+,0.34747317459356897,0.500029390928893,0.0,1,18.0,18.0,2600.0,1946.0,0.0,-654.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
80,age_bucket,26-40,26-40,0.30760364599673945,0.5032665382672084,0.0,1,18.0,18.0,5302.0,5302.0,0.0,0.0,A11,A13,A61,A61,1.5,1.1,0.15,0.15
170,age_bucket,41-60,41-60,0.1103602343035821,0.544201228127446,0.0,1,24.0,24.0,4870.0,4870.0,0.0,0.0,A11,A14,A61,A62,1.5,1.1,0.15,0.15
12,age_bucket,26-40,26-40,0.38858813797566716,0.523047125087604,0.0,1,27.0,27.0,3915.0,3915.0,0.0,0.0,A12,A12,A61,A62,1.5,1.1,0.15,0.15
27,age_bucket,26-40,26-40,0.3379014523201221,0.5000296905611649,0.0,1,18.0,14.000000000000144,12976.0,12785.0,-3.999999999999856,-191.0,A12,A12,A61,A62,1.5,1.1,0.15,0.15
131,age_bucket,26-40,26-40,0.10884461911985772,0.5403463278170618,0.0,1,12.0,12.0,2149.0,2149.0,0.0,0.0,A11,A14,A61,A62,1.5,1.1,0.15,0.15
118,age_bucket,41-60,41-60,0.1002187666451943,0.5173775517206403,0.0,1,24.0,24.0,6872.0,6872.0,0.0,0.0,A11,A14,A61,A62,1.5,1.1,0.15,0.15
129,age_bucket,26-40,26-40,0.28350113895488505,0.606397935589082,0.0,1,36.0,36.0,3711.0,3711.0,0.0,0.0,A12,A14,A65,A65,1.5,1.1,0.15,0.15
196,age_bucket,26-40,26-40,0.3211245568176518,0.5000048704442491,0.0,1,20.0,13.000000000000046,2629.0,2446.0,-6.999999999999954,-183.0,A12,A12,A61,A62,1.5,1.1,0.15,0.15
39,age_bucket,26-40,26-40,0.1161883951363812,0.5585559377441653,0.0,1,18.0,18.0,2389.0,2389.0,0.0,0.0,A11,A14,A61,A62,1.5,1.1,0.15,0.15
164,age_bucket,41-60,41-60,0.09031931168946587,0.5000135294247793,0.0,1,12.0,11.0,1082.0,929.0,-1.0,-153.0,A11,A14,A61,A62,1.5,1.1,0.15,0.15
163,age_bucket,26-40,26-40,0.3087512293277612,0.5046120944482415,0.0,1,15.0,15.0,1721.0,1721.0,0.0,0.0,A11,A13,A61,A61,1.5,1.1,0.15,0.15
115,age_bucket,le25,le25,0.2318081341073419,0.5402196724070019,0.0,1,12.0,12.0,7472.0,7472.0,0.0,0.0,A12,A14,A65,A65,1.0,1.0,0.25,0.25
43,age_bucket,26-40,26-40,0.185065772192526,0.5588345840917327,0.0,1,24.0,24.0,4020.0,4020.0,0.0,0.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
97,age_bucket,le25,le25,0.0946585474025624,0.5015746003358657,0.0,1,24.0,23.999999999999996,1442.0,1442.0,-3.552713678800501e-15,0.0,A11,A14,A61,A62,1.0,1.0,0.25,0.25
57,age_bucket,26-40,26-40,0.446151963626001,0.5000152585090829,0.0,1,9.0,4.0,1391.0,711.0,-5.0,-680.0,A12,A12,A61,A61,1.5,1.1,0.15,0.15
73,age_bucket,41-60,41-60,0.2623215173701662,0.5000229623470159,0.0,1,12.0,7.0,1344.0,1337.0,-5.0,-7.0,A11,A12,A61,A62,1.5,1.1,0.15,0.15
34,age_bucket,41-60,41-60,0.14622135670164269,0.5350202810388476,0.0,1,27.0,27.0,8318.0,8318.0,0.0,0.0,A12,A14,A61,A62,1.5,1.1,0.15,0.15
51,age_bucket,26-40,26-40,0.46523889960928466,0.5000056964349284,0.0,1,20.0,15.0,2235.0,2149.0,-5.0,-86.0,A11,A11,A61,A61,1.5,1.1,0.15,0.15
30,age_bucket,41-60,41-60,0.44912298629973607,0.5000188126912012,0.0,1,18.0,11.0,1984.0,1792.0,-7.0,-192.0,A14,A14,A61,A61,1.5,1.1,0.15,0.15
8,age_bucket,26-40,26-40,0.1418836832012942,0.5000006040349648,0.0,1,18.0,15.0,3114.0,3083.0,-3.0,-31.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
168,age_bucket,41-60,41-60,0.29770855219441716,0.6227232149434541,0.0,1,36.0,36.0,8086.0,8086.0,0.0,0.0,A12,A14,A62,A62,1.5,1.1,0.15,0.15
108,age_bucket,le25,le25,0.3059984663968348,0.5188717439814818,0.0,1,36.0,36.0,5848.0,5848.0,0.0,0.0,A13,A14,A61,A61,1.0,1.0,0.25,0.25
159,age_bucket,le25,le25,0.15995100133425122,0.5150547088446608,0.0,1,12.0,12.0,652.0,652.0,0.0,0.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
25,age_bucket,26-40,26-40,0.3175745001369647,0.5000280502179885,0.0,1,48.0,40.0,6110.0,5998.0,-8.0,-112.0,A14,A14,A61,A62,1.5,1.1,0.15,0.15
162,age_bucket,41-60,41-60,0.24524187613148687,0.5000286776459282,0.0,1,36.0,27.999999999999996,3446.0,3336.0,-8.000000000000004,-110.0,A11,A12,A61,A62,1.5,1.1,0.15,0.15
103,age_bucket,26-40,26-40,0.49265228307005793,0.5000311611468933,0.0,1,24.0,23.0,4113.0,4083.0,-1.0,-30.0,A12,A12,A63,A63,1.5,1.1,0.15,0.15
117,age_bucket,26-40,26-40,0.43045620171345705,0.5461060230858005,0.0,1,9.0,9.0,1437.0,1437.0,0.0,0.0,A12,A13,A62,A62,1.5,1.1,0.15,0.15
45,age_bucket,41-60,41-60,0.02732017063868511,0.5000040246008135,0.0,1,60.0,12.0,14782.0,12067.0,-48.0,-2715.0,A12,A14,A62,A64,1.5,1.1,0.15,0.15
86,age_bucket,41-60,41-60,0.03885401175858544,0.5000259883230921,0.0,1,36.0,24.0,15857.0,15814.0,-12.0,-43.0,A11,A14,A61,A64,1.5,1.1,0.15,0.15
156,age_bucket,le25,le25,0.15099660044711646,0.5000324809309831,0.0,1,24.0,17.0,2483.0,687.0,-7.0,-1796.0,A11,A12,A63,A64,1.0,1.0,0.25,0.25
64,age_bucket,41-60,41-60,0.0860021629962877,0.5000152887635565,0.0,1,48.0,45.0,3931.0,3759.0,-3.0,-172.0,A11,A14,A61,A62,1.5,1.1,0.15,0.15
167,age_bucket,41-60,41-60,0.08493891671986929,0.5000022578254962,0.0,1,36.0,18.0,7432.0,7348.0,-18.0,-84.0,A12,A14,A61,A62,1.5,1.1,0.15,0.15
29,age_bucket,41-60,41-60,0.058602230052725725,0.5000008795647979,0.0,1,36.0,27.0,14318.0,14240.0,-9.0,-78.0,A12,A14,A61,A64,1.5,1.1,0.15,0.15
68,age_bucket,41-60,41-60,0.17370584211203763,0.5397266388580135,0.0,1,18.0,18.0,1553.0,1553.0,0.0,0.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
92,age_bucket,26-40,26-40,0.49486086850027994,0.5000134589824083,0.0,1,48.0,48.0,5096.0,4937.0,0.0,-159.0,A12,A12,A61,A61,1.5,1.1,0.15,0.15
78,age_bucket,26-40,26-40,0.277188813593711,0.5000298924536523,0.0,1,12.0,10.0,2121.0,2103.0,-2.0,-18.0,A11,A12,A61,A62,1.5,1.1,0.15,0.15
139,age_bucket,26-40,26-40,0.48792795183201626,0.5000040806509116,0.0,1,48.0,46.999999999999986,7238.0,7063.0,-1.0000000000000142,-175.0,A14,A14,A65,A65,1.5,1.1,0.15,0.15
84,age_bucket,26-40,26-40,0.42218148502462644,0.5114101813801764,0.0,1,12.0,12.0,2171.0,2171.0,0.0,0.0,A11,A12,A61,A61,1.5,1.1,0.15,0.15
48,age_bucket,26-40,26-40,0.09706436647417788,0.5000092842590061,0.0,1,39.0,30.0,11760.0,11688.0,-9.0,-72.0,A12,A14,A62,A64,1.5,1.1,0.15,0.15
87,age_bucket,26-40,26-40,0.4751720064439516,0.5000120100368699,0.0,1,36.0,33.0,909.0,735.0,-3.0,-174.0,A14,A14,A63,A63,1.5,1.1,0.15,0.15
173,age_bucket,26-40,26-40,0.2077790399703919,0.5052476576174157,0.0,1,18.0,18.0,6260.0,6260.0,0.0,0.0,A12,A14,A61,A61,1.5,1.1,0.15,0.15
13,age_bucket,le25,le25,0.1488328116631089,0.5000158155748604,0.0,1,45.0,45.0,1845.0,1652.0,0.0,-193.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
14,age_bucket,26-40,26-40,0.46335902393289496,0.5000282199687326,0.0,1,15.0,10.0,5324.0,5179.0,-5.0,-145.0,A14,A14,A63,A63,1.5,1.1,0.15,0.15
